Year,Building Permits,Building Completions,Construction Price Index,Consumer Price Index ,Disposable Income of Households,Employment in Construction ,Energy Price (EUR/kWh),GDP(Construction Sector /EUR bilion),Gov.Infrastructure Spending (% of GDP),House Price Index,Housing Costs (EUR/Monthly),Construction Output (â‚¬),Construction Input ,Long Term Interest Rate (%),Gross Investment Rate (%),Net Investment Rate (%),Gross Profit Rate (%),Household Saving Rate Gross (%),Household Saving Rate Net (%),Population Growth Rate (%),Saving Rate (%),Stock of Buildings
2011.0,59534.0,46721.0,122.0,172.0,139.1,427488.03,0.196,17.3,2.1,172.0,419.5,62541.6,62384.1,4.0,25.240094625362968,5.46031760897341,43.31421380578512,13.390926944156204,7.794178515331779,0.34,10.0,2191280.0
2012.0,54093.0,49530.0,111.06700000000005,176.3,141.9,419638.3,0.197,17.6,2.2,176.3,435.4,60142.2,59995.19999999999,4.25,25.822178606771885,5.664197572191017,42.30385092889434,14.815228742398409,9.36199799140193,0.46,9.8,2179720.98
2013.0,60835.0,51526.0,108.96500000000003,179.8,144.7,434807.31,0.204,17.9,2.3,179.8,449.3,62740.0,62558.5,4.5,26.237041824504963,5.390913648066466,40.75798597419718,12.959683490939486,7.192823896141731,0.59,9.5,2170430.71
2014.0,64069.0,54690.0,106.69200000000006,182.7,147.5,433742.74,0.201,18.2,2.4,182.7,465.3,64108.8,63948.7,3.5,25.5969171536326,4.441124833640657,40.95940046719957,13.26689455382612,7.497467442056556,0.78,9.3,2210715.8
2015.0,67100.0,59279.0,100.0,184.4,150.3,420780.95,0.199,18.5,2.5,184.4,474.6,55662.9,55526.7,3.25,25.468598867335206,4.41768213606598,41.33596032551987,13.02438885508822,7.232462656307067,1.12,9.0,2237445.53
2016.0,75417.0,60486.0,100.6,186.1,153.1,421069.82,0.201,18.8,2.6,186.1,488.5,56857.4,56737.3,3.0,26.137659601779404,5.497713445726663,41.74514872226475,13.740550717600096,8.08875738804199,1.08,8.8,2230861.04
2017.0,86312.0,63864.0,104.1,189.9,155.9,413444.44,0.196,19.1,2.7,189.9,505.9,61477.6,61330.2,2.75,26.54872673187957,5.696586434552698,41.4495020977159,12.821722937830964,7.105117908069223,0.69,8.5,2265812.21
2018.0,74046.0,68993.0,107.1,193.7,158.7,417716.28,0.195,19.4,2.8,193.7,528.0,67992.1,67836.5,2.5,26.76741341452424,6.22175911447261,41.52898593642186,13.412662510942155,7.737917471223874,0.49,8.3,2274317.37
2019.0,84822.0,67997.0,108.3,196.7,161.5,429596.27,0.197,19.7,2.9,196.7,535.0,68512.6,68353.0,2.25,27.684430145333504,6.836559674023484,40.55314647957389,13.036587668586922,7.214888858599232,0.44,8.0,2274922.99
2020.0,78474.0,66982.0,110.0,199.5,164.3,520287.0,0.207,20.0,3.0,199.5,542.0,69126.6,68968.3,1.75,27.00132683777087,3.496331616420825,43.90650859640663,19.15299812661441,13.55078728811097,0.42,14.0,2241861.83
2021.0,78758.0,70384.0,110.4,205.0,167.1,322000.0,0.216,20.3,3.1,205.0,558.0,56309.32800000002,54637.16399999997,0.5,27.27177511949761,4.646952150714068,44.11447133881312,17.261580967428934,11.357436963508349,0.44,12.5,2374777.0
2022.0,64194.0,72245.0,121.6,222.5,169.9,352610.0,0.235,20.6,3.2,222.5,582.0,55808.521000000015,53725.68399999999,0.25,26.541701887198357,4.512579626284168,41.67983072192277,14.971203274580564,8.761672919459242,0.96,11.0,2396410.0
2023.0,46565.0,70071.0,122.9,239.9,172.7,360785.0,0.271,20.9,3.3,239.9,672.0,54730.75699999999,52937.96199999999,2.5,26.34803677449223,2.948266076990662,38.53846822781713,14.90643206993187,8.666017161791535,1.0,10.0,2257842.7
